t,x,y,z,qw,qx,qy,qz,q0,q1
23.5,-0.008511,-9.938147,0,0.988018,0,0,-0.154337,-0.316418,-0.290787
23.6,-0.007127,-9.938391,0,0.98865,0,0,-0.150237,-0.326594,-0.23127
23.7,-0.005209,-9.93919,0,0.99116,0,0,-0.132673,-0.301648,-0.173309
23.8,-0.002925,-9.940246,0,0.994652,0,0,-0.103285,-0.243908,-0.122632
23.9,-0.000484,-9.941147,0,0.997887,0,0,-0.06497,-0.159093,-0.084242
24,0.00187,-9.941528,0,0.999767,0,0,-0.021583,-0.055726,-0.061905
24.1,0.003891,-9.941192,0,0.999747,0,0,0.02251,0.055861,-0.057806
24.2,0.005366,-9.94018,0,0.998017,0,0,0.062945,0.164711,-0.072364
24.3,0.00615,-9.938742,0,0.995399,0,0,0.095813,0.260331,-0.104226
24.4,0.006182,-9.937229,0,0.993016,0,0,0.117984,0.333556,-0.150385
24.5,0.005477,-9.93597,0,0.991859,0,0,0.12734,0.377266,-0.206365
24.6,0.004105,-9.935161,0,0.992414,0,0,0.122939,0.387037,-0.266638
24.7,0.002193,-9.9348,0,0.994454,0,0,0.105171,0.361739,-0.325189
24.8,-0.000079,-9.934696,0,0.997125,0,0,0.075775,0.303773,-0.376157
24.9,-0.002488,-9.934564,0,0.99929,0,0,0.037673,0.218887,-0.414511
25,-0.004788,-9.93414,0,0.999986,0,0,-0.005341,0.115569,-0.436579
25.1,-0.006737,-9.933309,0,0.998798,0,0,-0.049025,0.004071,-0.440371
25.2,-0.008134,-9.932158,0,0.996018,0,0,-0.089154,-0.104748,-0.425681
25.3,-0.00885,-9.930935,0,0.99254,0,0,-0.121917,-0.200469,-0.394005
25.4,-0.008832,-9.929972,0,0.989548,0,0,-0.144203,-0.273951,-0.348369
25.5,-0.008098,-9.929542,0,0.988097,0,0,-0.153831,-0.318038,-0.293129
25.6,-0.006712,-9.92977,0,0.988726,0,0,-0.149734,-0.328225,-0.233621
25.7,-0.004791,-9.930554,0,0.991227,0,0,-0.13217,-0.303289,-0.175667
25.8,-0.002502,-9.931597,0,0.994704,0,0,-0.102779,-0.245557,-0.124993
25.9,-0.000058,-9.932488,0,0.997921,0,0,-0.064457,-0.160743,-0.086603
26,0.002299,-9.93286,0,0.999778,0,0,-0.021062,-0.057373,-0.064262
26.1,0.004322,-9.932515,0,0.999735,0,0,0.023037,0.054219,-0.060157
26.2,0.005796,-9.931494,0,0.997983,0,0,0.063477,0.163073,-0.074708
26.3,0.006578,-9.930043,0,0.995348,0,0,0.096347,0.258695,-0.106565
26.4,0.006608,-9.928515,0,0.992952,0,0,0.118518,0.331917,-0.15272
26.5,0.005901,-9.92724,0,0.99179,0,0,0.127875,0.37562,-0.208698
26.6,0.004528,-9.926412,0,0.992348,0,0,0.123477,0.385383,-0.268971
26.7,0.002616,-9.926027,0,0.994397,0,0,0.105713,0.360076,-0.327521
26.8,0.000345,-9.9259,0,0.997083,0,0,0.076323,0.302104,-0.37849
26.9,-0.002063,-9.925739,0,0.999269,0,0,0.038228,0.217215,-0.416846
27,-0.004363,-9.925288,0,0.999989,0,0,-0.004779,0.113898,-0.438917
27.1,-0.006312,-9.924434,0,0.998825,0,0,-0.048457,0.002402,-0.442714
27.2,-0.007711,-9.923256,0,0.996069,0,0,-0.088585,-0.106415,-0.42803
27.3,-0.008427,-9.922013,0,0.99261,0,0,-0.121349,-0.202138,-0.396363
27.4,-0.00841,-9.921027,0,0.98963,0,0,-0.14364,-0.275626,-0.350736
27.5,-0.007675,-9.920581,0,0.988184,0,0,-0.153272,-0.319722,-0.295506
27.6,-0.006287,-9.920792,0,0.98881,0,0,-0.149178,-0.32992,-0.236008
27.7,-0.004362,-9.921565,0,0.991301,0,0,-0.131614,-0.304995,-0.178061
27.8,-0.002069,-9.922599,0,0.994762,0,0,-0.102219,-0.247269,-0.127391
27.9,0.000379,-9.923482,0,0.997957,0,0,-0.063891,-0.162458,-0.089
28,0.002739,-9.923847,0,0.99979,0,0,-0.02049,-0.059085,-0.066656
28.1,0.004762,-9.923493,0,0.999721,0,0,0.023616,0.052513,-0.062544
28.2,0.006235,-9.922462,0,0.997946,0,0,0.064061,0.161372,-0.077089
28.3,0.007015,-9.921003,0,0.995291,0,0,0.096933,0.256995,-0.10894
28.4,0.007043,-9.919465,0,0.992882,0,0,0.119105,0.330214,-0.155091
28.5,0.006334,-9.918174,0,0.991714,0,0,0.128462,0.373911,-0.211067
28.6,0.00496,-9.91733,0,0.992274,0,0,0.124065,0.383664,-0.271339
28.7,0.003048,-9.916924,0,0.994334,0,0,0.106305,0.358348,-0.329889
28.8,0.000777,-9.916774,0,0.997037,0,0,0.076922,0.30037,-0.380859
28.9,-0.001631,-9.916593,0,0.999246,0,0,0.038834,0.215478,-0.419216
29,-0.00393,-9.91612,0,0.999991,0,0,-0.004165,0.112162,-0.44129
29.1,-0.00588,-9.915239,0,0.998855,0,0,-0.047839,0.000669,-0.445091
29.2,-0.00728,-9.914041,0,0.996124,0,0,-0.087965,-0.108146,-0.430414
29.3,-0.007998,-9.912775,0,0.992685,0,0,-0.120732,-0.20387,-0.398756
29.4,-0.007981,-9.911772,0,0.989719,0,0,-0.143026,-0.277364,-0.353139
29.5,-0.007246,-9.911306,0,0.988278,0,0,-0.152663,-0.321471,-0.29792
29.6,-0.005856,-9.911504,0,0.988902,0,0,-0.148573,-0.33168,-0.238432
29.7,-0.003928,-9.912267,0,0.991381,0,0,-0.131009,-0.306766,-0.180492
29.8,-0.001631,-9.913292,0,0.994824,0,0,-0.101611,-0.249047,-0.129825
29.9,0.000821,-9.914169,0,0.997996,0,0,-0.063277,-0.164238,-0.091434
30,0.003183,-9.914527,0,0.999803,0,0,-0.019868,-0.060862,-0.069086
30.1,0.005207,-9.914169,0,0.999706,0,0,0.024244,0.050741,-0.064968
30.2,0.00668,-9.913131,0,0.997905,0,0,0.064693,0.159605,-0.079506
30.3,0.007458,-9.911663,0,0.995229,0,0,0.097567,0.25523,-0.111351
30.4,0.007482,-9.910113,0,0.992805,0,0,0.119739,0.328446,-0.157498
30.5,0.006771,-9.90881,0,0.991632,0,0,0.129096,0.372136,-0.213472
30.6,0.005395,-9.907947,0,0.992195,0,0,0.124701,0.38188,-0.273742
30.7,0.003483,-9.907522,0,0.994265,0,0,0.106945,0.356555,-0.332293
30.8,0.001212,-9.907351,0,0.996987,0,0,0.077568,0.29857,-0.383263
30.9,-0.001195,-9.907146,0,0.99922,0,0,0.039489,0.213676,-0.421622
31,-0.003495,-9.906648,0,0.999994,0,0,-0.003504,0.110361,-0.443699
31.1,-0.005446,-9.905746,0,0.998887,0,0,-0.047173,-0.001129,-0.447505
31.2,-0.006848,-9.904524,0,0.996182,0,0,-0.087298,-0.109943,-0.432834
31.3,-0.007567,-9.903238,0,0.992766,0,0,-0.120067,-0.205669,-0.401185
